!SIL	SIL
<UNK>	SPN
LÊRBRÅKER	l a R b R o k @ R
LÊRBRÅKI	l a R b R o dZ i
LÊRET	l e R @ t
LÊRHUD	l a R h u d
LÊRHUDA	l a R h u d A
LÊRHUDENE	l a R h u d E n a
LÊRHUDER	l a R h u d @ R
LÊRHUDI	l a R h u d i
LÊRI	l e R i
LÊRJAKKA	l a R j A k A
LÊRJAKKE	l a R j A k a
LÊRJAKKENE	l a R j A k E n a
LÊRJAKKER	l a R j A k @ R
LÊRJAKKONE	l a R j A k u n a
LÊRJAKKOR	l a R j A k u R
LÊRKULA	l a R k u l A
LÊRKULE	l a R k u l a
LÊRKULENE	l a R k u l E n a
LÊRKULER	l a R k u l @ R
LÊRKULONE	l a R k u l u n a
LÊRKULOR	l a R k u l u R
LÊRREIM	l a R R aI m
LÊRREIMA	l a R R aI m A
LÊRREIMANE	l a R R aI m a n a
LÊRREIMAR	l a R R aI m a R
LÊRREIMENE	l a R R aI m E n a
LÊRREIMER	l a R R aI m @ R
LÊRREIMI	l a R R aI m i
LÊRSKO	l a R S k u
LÊRSKOA	l a R S k u A
LÊRSKOEN	l a R S k O a n
LÊRSKOI	l a R S k O I
LÊRSKOR	l a R S k u R
LÊRSKORNE	l a R S k O R n a
LÊRSOLANE	l a R S u l a n a
LÊRSOLAR	l a R S u l a R
LÊRSOLE	l a R S u l a
LÊRSOLEN	l a R S u l @ n
LÊRVARA	l a R v a R A
LÊRVARE	l a R v a R a
LÊRVARENE	l a R v a R E n a
LÊRVARER	l a R v a R @ R
LÊRVARONE	l a R v a R u n a
LÊRVAROR	l a R v a R u R
LÊRVORE	l a R v u R a
LÊRVOREN	l a R v u R @ n
LÊRVORI	l a R v u R i
LÊRVORNARE	l a R v O R n a R a
LÊRVORNAST	l a R v O R n A s t
LÊRVORNASTE	l a R v O R n A s t a
LÊRVORNE	l a R v O R n a
LÉT	l e t
LÈT	l e t
LÉTA	l e t A
LÉTANDE	l e t A n n a
LÉTAR	l e t a R
LÉTAS	l e t a s
LÉTAST	l e t A s t
LÉTE	l e t a
LINDSTRØM	l I n n s t R y m
LINDÖ	l I n n y
LINNVÊR	l I n v @ R
LINNVÊRA	l I n v e R A
LINNVÊRET	l I n v e R @ t
LINNVÊRI	l I n v e R i
LIVRÉI	l I v R e i
LIVRÉKLEDD	l I v R e k l E d
LIVRÉKLEDDARE	l I v R e k l @ d a R a
LIVRÉKLEDDAST	l I v R e k l @ d A s t
LIVRÉKLEDDASTE	l I v R e k l @ d A s t a
LIVRÉKLEDDE	l I v R e k l E d a
LIVRÉKLEDT	l I v R e k l E d t
LÒDE	l u d a
LÒDEN	l u d @ n
LÒDENT	l u d E n t
LÒDI	l u d i
LÒDNARE	l O d n a R a
LÒDNAST	l O d n A s t
LÒDNASTE	l O d n A s t a
LÒDNE	l O d n a
LÒKA	l u k A
LÓKANE	l u k a n a
LÓKAR	l u k a R
LÓKE	l u k a
LÒKE	l u k a
LÓKEN	l u k @ n
LÒKENE	l u k E n a
LÒKER	l u k @ R
LÒKONE	l u k u n a
LÒKOR	l u k u R
LÓS	l u s
LÒS	l u s
LÓSA	l u s A
LÒSA	l u s A
LÓSANDE	l u s A n n a
LÒSANDE	l u s A n n a
LÓSANE	l u s a n a
LÓSAR	l u s a R
LÒSAR	l u s a R
LÓSAS	l u s a s
LÒSAS	l u s a s
LÓSAST	l u s A s t
LÒSAST	l u s A s t
LÓSE	l u s a
LÒSE	l u s a
LÓSEN	l u s @ n
LÓSER	l u s @ R
LÒSER	l u s @ R
LÓSET	l u s @ t
LÒSET	l u s @ t
LÓSI	l u s i
LÒSI	l u s i
LÓST	l w s t
LÒST	l w s t
LÓSTE	l w s t a
LÒSTE	l w s t a
LÒT	l u t
LÒTA	l u t A
LÒTANE	l u t a n a
LÒTAR	l u t a R
LÒTEN	l u t @ n
LÒTET	l u t @ t
LÒTI	l u t i
LÓVANE	l u v a n a
LÓVAR	l u v a R
LÓVE	l u v a
LÓVEN	l u v @ n
LÙT	l u t
LÙTA	l u t A
LÙTANDE	l u t A n n a
LÙTAR	l u t a R
LÙTAS	l u t a s
LÙTAST	l u t A s t
LÙTE	l u t a
LYCÉI	l y k e i
LÆR	l a R
LÆRA	l a R A
LÆRAS	l a R a s
LÆRDAL	l a R d a l
LÆRE	l a R a
LÆRENDE	l a R E n n a
LÆRENDES	l a R E n n @ s
LÆRENE	l a R E n a
LÆRENES	l a R e n @ s
LÆRER	l a R @ R
LÆRES	l a R @ s
LÆRET	l a R @ t
LÆRETS	l a R E t s
LÆRING	l a R I N
LÆRINGA	l a R I N A
LÆRINGAS	l a R I N a s
LÆRINGEN	l a R I N @ n
LÆRINGENS	l a R I N @ n s
LÆRINGS	l a R I N s
LÆRS	l a S
LÆRT	l a R t
LÆRTE	l a R t a
LÆRTES	l a R t @ s
LÆRTS	l a R t s
LÆTA	l E t A
LÆTE	l E t a
LÆTENE	l E t E n a
LÆTENES	l E t e n @ s
LÆTER	l E t @ R
LÆTERS	l E t a S
LÆTES	l E t @ s
LÆVÊR	l E v @ R
LÆVÊRA	l E v e R A
LÆVÊRET	l E v e R @ t
LÆVÊRI	l E v e R i
LØ	l y
LØFVEN	l W f v @ n
LØK	l y k
LØKS	l W k s
LØKT	l W k t
LØKTS	l W k t s
LØNE	l y n a
LØNERE	l y n e R a
LØNERES	l y n e R @ s
LØNES	l y n @ s
LØNT	l W n t
LØNTE	l W n t a
LØNTES	l W n t @ s
LØNTS	l W n t s
LØR	l y R
LØRER	l y R @ R
LØS	l y s
LØS'	l y s
LØSE	l y s a
LØSEN	l y s @ n
LØSENDE	l y s E n n a
LØSENDES	l y s E n n @ s
LØSENS	l y s @ n s
LØSER	l y s @ R
LØSES	l y s @ s
LØSET	l y s @ t
LØSING	l y s I N
LØST	l W s t
LØSTE	l W s t a
LØSTES	l W s t @ s
LØSTS	l W s t s
LØVE	l y v a
LØVEN	l y v @ n
LØVENE	l y v E n a
LØVENES	l y v e n @ s
LØVENS	l y v @ n s
LØVER	l y v @ R
LØVERS	l y v a S
LØVES	l y v @ s
MAKRAMÉA	m A k R a m e A
MAKRAMÉANE	m A k R a m e a n a
MAKRAMÉAR	m A k R a m e a R
MAKRAMÉARBEIDI	m A k R a m e A R b aI d i
MAKRAMÉI	m A k R a m e i
MAKSVÊR	m A k s v @ R
MAKSVÊRA	m A k s v e R A
MAKSVÊRET	m A k s v e R @ t
MAKSVÊRI	m A k s v e R i
MALÌSIØS	m a l i s i y s
MALÌSIØSARE	m a l i s i y s a R a
MALÌSIØSAST	m a l i s i y s A s t
MALÌSIØSASTE	m a l i s i y s A s t a
MALÌSIØSE	m a l i s i y s a
MALÌSIØST	m a l i s i W s t
MALMØ	m A l m y
MARINEATTACHÉANE	m a R i n e A t A S e a n a
MARINEATTACHÉAR	m a R i n e A t A S e a R
MATINÉANE	m a t i n e a n a
MATINÉAR	m a t i n e a R
MAUSOLÉI	m a w s u l e i
MÉD	m e d
MÉDA	m e d A
MÉDANDE	m e d A n n a
MÉDANE	m e d a n a
MÉDAR	m e d a R
MÉDAS	m e d a s
MÉDAST	m e d A s t
MÉDDRAG	m e d R a g
MÉDDRAGA	m e d R a g A
MÉDDRAGET	m e d R a g @ t
MÉDDRAGI	m e d R a j i
MÉDE	m e d a
MÉDEN	m e d @ n
MÉDET	m e d a
MÉDFAR	m e d f a R
MÉDFARA	m e d f a R A
MÉDFARET	m e d f a R @ t
MÉDFARI	m e d f a R i
MÉDI	m e d i
MÉDLINA	m e d l i n A
MÉDLINE	m e d l i n a
MÉDLINENE	m e d l i n E n a
MÉDLINER	m e d l i n @ R
MÉDLINJA	m e d l I n j A
MÉDLINJE	m e d l I n j a
MÉDLINJENE	m e d l I n j E n a
MÉDLINJER	m e d l I n j @ R
MÉDLINJONE	m e d l I n j u n a
MÉDLINJOR	m e d l I n j u R
MÉDLINONE	m e d l i n u n a
MÉDLINOR	m e d l i n u R
MELØ	m e l y
MILDVÊR	m I l l v @ R
MILDVÊRA	m I l l v e R A
MILDVÊRET	m I l l v e R @ t
MILDVÊRI	m I l l v e R i
MILITÆRATTACHÉANE	m i l i t a R A t A S e a n a
MILITÆRATTACHÉAR	m i l i t a R A t A S e a R
MISÉRE	m i s e R a
MISFÓR	m I s f u R
MJØNES	m j y n @ s
MÒ	m u
MÒA	m u A
MOARÉANE	m u a R e a n a
MOARÉAR	m u a R e a R
MÒET	m O a t
MÒI	m O I
MÒL	m u l
MÒLA	m u l A
MÒLANE	m u l a n a
MÒLAR	m u l a R
MÒLEN	m u l @ n
MÒLENE	m u l E n a
MÒLER	m u l @ R
MÒLI	m u l i
MÒR	m u R
MÒRANE	m u R a n a
MÒRAR	m u R a R
MÒREN	m u R @ n
MOSKÉANE	m O s k e a n a
MOSKÉAR	m O s k e a R
MOULINÉGARNI	m u u l i n e g A R n i
MUNNDIARÉANE	m u n d i a R e a n a
MUNNDIARÉAR	m u n d i a R e a R
MUNNLÊR	m u n l @ R
MUNNLÊRA	m u n l e R A
MUNNLÊRET	m u n l e R @ t
MUNNLÊRI	m u n l e R i
MUSÉBYGNING	m u s e b y N n I N
MUSÉBYGNINGANE	m u s e b y N n I N a n a
MUSÉBYGNINGAR	m u s e b y N n I N a R
MUSÉBYGNINGEN	m u s e b y N n I N @ n
MUSÉDIREKTØRANE	m u s e d i R E k t y R a n a
MUSÉDIREKTØRAR	m u s e d i R E k t y R a R
MUSÉGJENSTANDANE	m u s e j @ n s t A n n a n a
MUSÉGJENSTANDAR	m u s e j @ n s t A n n a R
MUSÉI	m u s e i
MÜLLER	m y l l @ R
MÆ	m E
MÆKINEN	m E dZ i n @ n
MÆL	m E l
MÆLA	m E l A
MÆLAS	m E l a s
MÆLE	m E l a
MÆLENDE	m E l E n n a
MÆLENDES	m E l E n n @ s
MÆLENE	m E l E n a
MÆLENES	m E l e n @ s
MÆLER	m E l @ R
MÆLERS	m E l a S
MÆLES	m E l @ s
MÆLET	m E l @ t
MÆLETS	m E l E t s
MÆLING	m E l I N
MÆLINGEN	m E l I N @ n
MÆLINGENE	m E l I N E n a
MÆLINGENES	m E l I N e n @ s
MÆLINGENS	m E l I N @ n s
MÆLINGER	m E l I N @ R
MÆLINGERS	m E l I N a S
MÆLINGS	m E l I N s
MÆLT	m a l t
MÆLTE	m a l t a
MÆLTES	m a l t @ s
MÆLTS	m a l t s
MÄN	m E n
MÆRENE	m a R E n a
MÆSTAD	m a s t a d
MÆT	m E t
MÆTE	m E t a
MÆTENDE	m E t E n n a
MÆTENDES	m E t E n n @ s
MÆTER	m E t @ R
MÆTES	m E t @ s
MÆTING	m E t I N
MÆTTE	m a t a
MØ	m y
MØDREKUPÉANE	m W d R e k u p e a n a
MØDREKUPÉAR	m W d R e k u p e a R
MØKAVÊR	m y k a v @ R
MØKAVÊRA	m y k a v e R A
MØKAVÊRET	m y k a v e R @ t
MØKAVÊRI	m y k a v e R i
MØKKAVÊR	m W k a v @ R
MØKKAVÊRA	m W k a v e R A
MØKKAVÊRET	m W k a v e R @ t
MØKKAVÊRI	m W k a v e R i
MØKKVÊR	m W k v @ R
MØKKVÊRA	m W k v e R A
MØKKVÊRET	m W k v e R @ t
MØKKVÊRI	m W k v e R i
MØKVÊR	m W k v @ R
MØKVÊRA	m W k v e R A
MØKVÊRET	m W k v e R @ t
MØKVÊRI	m W k v e R i
MØL	m y l
MØNE	m y n a
MØNENE	m y n E n a
MØNENES	m y n e n @ s
MØNER	m y n @ R
MØNERS	m y n a S
MØNES	m y n @ s
MØR	m y R
MØRE	m y R a
MØRS	m W S
MØT	m y t
MØTA	m y t A
MØTAS	m y t a s
MØTE	m y t a
MØTENDE	m y t E n n a
MØTENDES	m y t E n n @ s
MØTENE	m y t E n a
MØTENES	m y t e n @ s
MØTER	m y t @ R
MØTERS	m y t a S
MØTES	m y t @ s
MØTET	m y t @ t
MØTETS	m y t E t s
MØTING	m y t I N
MØTS	m W t s
MØTT	m W t
MØTTE	m W t a
MØTTES	m W t @ s
MØTTS	m W t s
NAGLEFÓR	n A g l e f u R
NATTINÉANE	n A t i n e a n a
NATTINÉAR	n A t i n e a R
NATTKAFÉANE	n A t k a f e a n a
NATTKAFÉAR	n A t k a f e a R
NAUDFÔR	n a w d f u R
NAUDFÔRA	n a w d f u R A
NAUDFÔRET	n a w d f u R @ t
NAUDFÔRI	n a w d f u R i
NEDFÔRINGA	n E d f u R I N A
NEDFÔRINGANE	n E d f u R I N a n a
NEDFÔRINGAR	n E d f u R I N a R
NEDFÔRINGI	n E d f u R I N i
NEDLÉT	n E d l e t
NEDLÈT	n E d l @ t
NEGLISJÉANE	n E g l I S e a n a
NEGLISJÉAR	n E g l I S e a R
NIVÅ	n i v o
NORDAVÊR	n O R d a v @ R
NORDAVÊRA	n O R d a v e R A
NORDAVÊRET	n O R d a v e R @ t
NORDAVÊRI	n O R d a v e R i
NORDSTRØM	n O R d s t R y m
NORGESPREMIÉRE	n O R g @ s p R e m i e R a
NORRKØPING	n O R R k y p I N
NÓT	n u t
NÓTA	n u t A
NÓTENE	n u t E n a
NÓTER	n u t @ R
NÓTI	n u t i
NÆR	n a R
NÆS	n E s
NØ	n y
NØDD	n W d
NØDDE	n W d a
NØDDES	n W d @ s
NØDDS	n W d s
NØDE	n y d a
NØDEN	n y d @ n
NØDENS	n y d @ n s
NØDES	n y d @ s
NØDFÔR	n W d f u R
NØDFÔRA	n W d f u R A
NØDFÔRET	n W d f u R @ t
NØDFÔRI	n W d f u R i
NØDIG	n y d I
NØENDE	n y E n n a
NØENDES	n y E n n @ s
NØING	n y I N
NØL	n y l
NØLA	n y l A
NØLAS	n y l a s
NØLEN	n y l @ n
NØLENE	n y l E n a
NØLENES	n y l e n @ s
NØLENS	n y l @ n s
NØLER	n y l @ R
NØLERS	n y l a S
NØR	n y R
NØRBY	n W R b y
NØRE	n y R a
NØRENDE	n y R E n n a
NØRENDES	n y R E n n @ s
NØRER	n y R @ R
NØRES	n y R @ s
NØRING	n y R I N
NØRS	n W S
NØRT	n W R t
NØRTE	n W R t a
NØRTES	n W R t @ s
NØRTS	n W R t s
NØS	n y s
NØSS	n W s
NØVIK	n y v i k
ODYSSÉANE	u d y s s e a n a
ODYSSÉAR	u d y s s e a R
OFSEVÊR	O f s e v @ R
OFSEVÊRA	O f s e v e R A
OFSEVÊRET	O f s e v e R @ t
OFSEVÊRI	O f s e v e R i
OGSÅ	O g s o
OKANE	u k a n a
O´KANE	u k a n a
ÓM	u m
ÓMA	u m A
ÓMANDE	u m A n n a
ÓMAR	u m a R
ÓMAS	u m a s
ÓMAST	u m A s t
ÓME	u m a
OMFÓRS	O m f O S
OMFÓRST	O m f O R S t
OPPFØRINGEN	O p f y R I N @ n
OPPHALDSVÊR	O p h A l l s v @ R
OPPHALDSVÊRA	O p h A l l s v e R A
OPPHALDSVÊRET	O p h A l l s v e R @ t
OPPHALDSVÊRI	O p h A l l s v e R i
ORKIDÉANE	O R dZ i d e a n a
ORKIDÉAR	O R dZ i d e a R
OSTESUFFLÉ	w s t e s u f f l e
OSTESUFFLÉANE	w s t e s u f f l e a n a
OSTESUFFLÉAR	w s t e s u f f l e a R
OSTESUFFLÉEN	w s t e s u f f l e @ n
OVERLÊR	u v a R l @ R
OVERLÊRA	u v a R l e R A
OVERLÊRET	u v a R l e R @ t
OVERLÊRI	u v a R l e R i
OVERLÉT	u v a R l e t
OVERLÈT	u v a R l @ t
PALÉI	p a l e i
PAPPMACHÉ	p A p m A S e
PAPPMACHÉANE	p A p m A S e a n a
PAPPMACHÉAR	p A p m A S e a R
PAPPMACHÉEN	p A p m A S e @ n
PAPPMASJÉANE	p A p m A S e a n a
PAPPMASJÉAR	p A p m A S e a R
PARANÒTTRE	p a R a n O t R a
PARANÒTTREA	p a R a n O t R e A
PARANÒTTREET	p a R a n O t R e @ t
PARANÒTTREI	p a R a n O t R aI
PASSÉARE	p A s s e a R a
PASSÉAST	p A s s e A s t
PASSÉASTE	p A s s e A s t a
PATÉANE	p a t e a n a
PATÉAR	p a t e a R
PEANÒTSMØR	p e a n O t s m y R
PEANÒTSMØRA	p e a n O t s m y R A
PEANÒTSMØRET	p e a n O t s m y R @ t
PEANÒTSMØRI	p e a n O t s m y R i
PERIGÉA	p e R i g e A
PERIGÉET	p e R i g e @ t
PERIGÉI	p e R i g e i
PIKÉANE	p i k e a n a
PIKÉAR	p i k e a R
PLANKOMITÉ	p l A N k u m i t e
PLANKOMITÉANE	p l A N k u m i t e a n a
PLANKOMITÉAR	p l A N k u m i t e a R
PLANKOMITÉEN	p l A N k u m i t e @ n
PLISSÉANE	p l I s s e a n a
PLISSÉAR	p l I s s e a R
PLISSÉSKJØRTI	p l I s s e S W R t i
PLOGFÒR	p l O g f u R
PLOGFÒRA	p l O g f u R A
PLOGFÒRENE	p l O g f u R E n a
PLOGFÒRER	p l O g f u R @ R
PLOGFÒRI	p l O g f u R i
POLÉRMIDDEL	p u l e R m I d @ l
POLÉRMIDDELET	p u l e R m I d e l @ t
POLÉRMIDLA	p u l e R m I d l A
POLÉRMIDLET	p u l e R m I d l @ t
POLÉRMIDLI	p u l e R m I d l i
POPPELALLÉ	p O p e l A l l e
POPPELALLÉANE	p O p e l A l l e a n a
POPPELALLÉAR	p O p e l A l l e a R
POPPELALLÉEN	p O p e l A l l e @ n
PORTEMONÉANE	p w R t e m u n e a n a
PORTEMONÉAR	p w R t e m u n e a R
PORTØREN	p w R t y R @ n
PORTØRENE	p w R t y R E n a
PORTØRENES	p w R t y R e n @ s
PORTØRENS	p w R t y R @ n s
PORTØRER	p w R t y R @ R
PORTØRERS	p w R t y R a S
PÒT	p u t
PÒTA	p u t A
PÒTANDE	p u t A n n a
PÒTAR	p u t a R
PÒTAS	p u t a s
PÒTAST	p u t A s t
PÒTE	p u t a
POTETPURÉANE	p u t @ t p u R e a n a
POTETPURÉAR	p u t @ t p u R e a R
PREMIÈRANE	p R e m i e R a n a
PREMIÈRAR	p R e m i e R a R
PREMIÉRE	p R e m i e R a
PREMIÈREKVELD	p R e m i e R @ k v E l l
PREMIÈREKVELDANE	p R e m i e R @ k v E l l a n a
PREMIÈREKVELDAR	p R e m i e R @ k v E l l a R
PREMIÈREKVELDEN	p R e m i e R @ k v E l l @ n
PREMIÉREN	p R e m i e R @ n
PREMIÈREPUBLIKUM	p R e m i e R e p u b l i k u m
PREMIÈREPUBLIKUMA	p R e m i e R e p u b l i k u m A
PREMIÈREPUBLIKUMET	p R e m i e R e p u b l i k u m @ t
PREMIÈREPUBLIKUMI	p R e m i e R e p u b l i k u m i
PREMIÈREPUBLIKUMMA	p R e m i e R e p u b l i k u m m A
PREMIÈREPUBLIKUMMET	p R e m i e R e p u b l i k u m m @ t
PREMIÈREPUBLIKUMMI	p R e m i e R e p u b l i k u m m i
PRESSEATTACHÉANE	p R E s s e A t A S e a n a
PRESSEATTACHÉAR	p R E s s e A t A S e a R
PRESSFÔRI	p R E s s f u R i
PROBÉRNÅL	p R u b e R n o l
PROBÉRNÅLANE	p R u b e R n o l a n a
PROBÉRNÅLAR	p R u b e R n o l a R
PROBÉRNÅLEN	p R u b e R n o l @ n
PROPYLÉI	p R u p y l e i
PROPYLÉUM	p R u p y l e u m
PROTEGÉANE	p R u t e g e a n a
PROTEGÉAR	p R u t e g e a R
PROTEINFÔR	p R u t aI n f u R
PROTEINFÔRA	p R u t aI n f u R A
PROTEINFÔRET	p R u t aI n f u R @ t
PROTEINFÔRI	p R u t aI n f u R i
PROTESJÉANE	p R u t @ S e a n a
PROTESJÉAR	p R u t @ S e a R
PROTOKOLLKOMITÉANE	p R u t u k O l k u m i t e a n a
PROTOKOLLKOMITÉAR	p R u t u k O l k u m i t e a R
PROVENÇALAR	p R u v @ n k a l a R
PROVENÇALARANE	p R u v @ n k a l a R a n a
PROVENÇALARAR	p R u v @ n k a l a R a R
PROVENÇALAREN	p R u v @ n k a l a R @ n
PUNTLÊR	p u n t l @ R
PUNTLÊRA	p u n t l e R A
PUNTLÊRET	p u n t l e R @ t
PUNTLÊRI	p u n t l e R i
PUNTLÊRSMAGANE	p u n t l a R S m a g a n a
PUNTLÊRSMAGAR	p u n t l a R S m a g a R
PUNTLÊRSMAGE	p u n t l a R S m a g a
PUNTLÊRSMAGEN	p u n t l a R S m a g @ n
PURÉANE	p u R e a n a
PURÉAR	p u R e a R
PYGMÉANE	p y g m e a n a
PYGMÉAR	p y g m e a R
PYGMÉISK	p y g m e I s k
PYGMÉISKARE	p y g m e I s k a R a
PYGMÉISKAST	p y g m e I s k A s t
PYGMÉISKASTE	p y g m e I s k A s t a
PYGMÉISKE	p y g m e I s k a
PYGMÉSTAMMA	p y g m e s t A m m A
PYGMÉSTAMMANE	p y g m e s t A m m a n a
PYGMÉSTAMMAR	p y g m e s t A m m a R
PYGMÉSTAMME	p y g m e s t A m m a
PYGMÉSTAMMEN	p y g m e s t A m m @ n
PYGMÉSTAMMENE	p y g m e s t A m m E n a
PYGMÉSTAMMER	p y g m e s t A m m @ R
PYGMÉSTAMMONE	p y g m e s t A m m u n a
PYGMÉSTAMMOR	p y g m e s t A m m u R
PYORÉANE	p y u R e a n a
PYORÉAR	p y u R e a R
PYTAGORÉISK	p y t a g u R e I s k
PYTAGORÉISKARE	p y t a g u R e I s k a R a
PYTAGORÉISKAST	p y t a g u R e I s k A s t
PYTAGORÉISKASTE	p y t a g u R e I s k A s t a
PYTAGORÉISKE	p y t a g u R e I s k a
PÆLA	p E l A
PÆLE	p E l a
PÆLEN	p E l @ n
PÆLENE	p E l E n a
PÆLENES	p E l e n @ s
PÆLENS	p E l @ n s
PÆLER	p E l @ R
PÆLERS	p E l a S
PÆLES	p E l @ s
PØL	p y l
PØLEN	p y l @ n
PØLENE	p y l E n a
PØLENES	p y l e n @ s
PØLENS	p y l @ n s
PØLER	p y l @ R
PØLERS	p y l a S
PØLS	p W l s
PØSE	p y s a
PØSER	p y s @ R
PØSES	p y s @ s
PÅ	p o
PÅFUGLFJØR	p o f u g l f j y R
PÅFUGLFJØRA	p o f u g l f j y R A
PÅFUGLFJØRAS	p o f u g l f j y R a s
PÅFUGLFJØREN	p o f u g l f j y R @ n
PÅFUGLFJØRENE	p o f u g l f j y R E n a
PÅFUGLFJØRENES	p o f u g l f j y R e n @ s
PÅFUGLFJØRENS	p o f u g l f j y R @ n s
PÅFUGLFJØRER	p o f u g l f j y R @ R
PÅFUGLFJØRERS	p o f u g l f j y R a S
PÅFUGLFJØRS	p o f u g l f j W S
PÅKJØR	p O dZ y R
PÅKJØRE	p O dZ y R a
PÅKJØRENDE	p O dZ y R E n n a
PÅKJØRENDES	p O dZ y R E n n @ s
PÅKJØRER	p O dZ y R @ R
PÅKJØRES	p O dZ y R @ s
PÅKJØRING	p O dZ y R I N
PÅKJØRT	p O dZ W R t
PÅKJØRTE	p O dZ W R t a
PÅKJØRTES	p O dZ W R t @ s
PÅKJØRTS	p O dZ W R t s
RASVÊR	R A s v @ R
RASVÊRA	R A s v e R A
RASVÊRET	R A s v e R @ t
RASVÊRI	R A s v e R i
REDAKSJONSKOMITÉANE	R e d A k S O n s k u m i t e a n a
REDAKSJONSKOMITÉAR	R e d A k S O n s k u m i t e a R
REGNVÊR	R E N n v @ R
REGNVÊRA	R E N n v e R A
REGNVÊRET	R E N n v e R @ t
REGNVÊRI	R E N n v e R i
RELÉI	R e l e i
RELÉSTASJONANE	R e l e s t A S u n a n a
RELÉSTASJONAR	R e l e s t A S u n a R
RENÉ	R e n e
RENOMMÉI	R e n O m m e i
RESYMÉI	R e s y m e i
RISSEFJØR	R I s s @ f j y R
RISSEFJØRA	R I s s @ f j y R A
RISSEFJØRAS	R I s s @ f j y R a s
RISSEFJØREN	R I s s @ f j y R @ n
RISSEFJØRENE	R I s s @ f j y R E n a
RISSEFJØRENES	R I s s @ f j y R e n @ s
RISSEFJØRENS	R I s s @ f j y R @ n s
RISSEFJØRER	R I s s @ f j y R @ R
RISSEFJØRERS	R I s s @ f j y R a S
RISSEFJØRS	R I s s @ f j W S
RÒD	R u d
RÒDA	R u d A
RÒDANE	R u d a n a
RÒDAR	R u d a R
RÒDE	R u d a
RÒDEN	R u d @ n
RÒDET	R u d a
RÒDI	R u d i
RÒK	R u k
RÒKA	R u k A
RÒKANE	R u k a n a
RÒKAR	R u k a R
RÒKE	R u k a
RÒKEN	R u k @ n
RÒKET	R u k @ t
RÒKI	R u dZ i
RÒKMÅL	R O k m o l
RÒKMÅLA	R O k m o l A
RÒKMÅLET	R O k m o l @ t
RÒKMÅLI	R O k m o l i
RÒKAARE	R u k o R a
RÒKAAST	R u k O s t
RÒKAASTE	R u k O s t a
RÒS	R u s
RÒSA	R u s A
RÒSANDE	R u s A n n a
RÒSAR	R u s a R
RÒSAS	R u s a s
RÒSAST	R u s A s t
RÒSE	R u s a
RÒSENE	R u s E n a
RÒSER	R u s @ R
RÒSET	R u s @ t
RÒSETARE	R u s e t a R a
RÒSETAST	R u s e t A s t
RÒSETASTE	R u s e t A s t a
RÒSETE	R u s e t a
RÒSETEARE	R u s e t e a R a
RÒSETEAST	R u s e t e A s t
RÒSETEASTE	R u s e t e A s t a
ROSÉVINANE	R u s e v i n a n a
ROSÉVINAR	R u s e v i n a R
RÒSI	R u s i
RÒSONE	R u s u n a
RÒSOR	R u s u R
RÒSUT	R u s u t
RÒSUTARE	R u s u t a R a
RÒSUTAST	R u s u t A s t
RÒSUTASTE	R u s u t A s t a
RÒSUTE	R u s u t a
RÒT	R u t
RÒTA	R u t A
RÒTANE	R u t a n a
RÒTAR	R u t a R
RÒTE	R u t a
RÒTEN	R u t @ n
RÒTENSKAP	R u t @ n s k a p
RÒTENSKAPANE	R u t @ n s k a p a n a
RÒTENSKAPAR	R u t @ n s k a p a R
RÒTENSKAPEN	R u t @ n s k a p @ n
RÒTENT	R u t E n t
RÒTET	R u t @ t
RÒTI	R u t i
RÒTNARE	R O t n a R a
RÒTNAST	R O t n A s t
RÒTNASTE	R O t n A s t a
RÒTNE	R O t n a
RÙNANE	R u n a n a
RÙNAR	R u n a R
RÙNE	R u n a
RÙNEN	R u n @ n
RUSKEVÊR	R u s k e v @ R
RUSKEVÊRA	R u s k e v e R A
RUSKEVÊRET	R u s k e v e R @ t
RUSKEVÊRI	R u s k e v e R i
RUSSLÊR	R u s s l @ R
RUSSLÊRA	R u s s l e R A
RUSSLÊRET	R u s s l e R @ t
RUSSLÊRI	R u s s l e R i
RÆ	R E
RÆR	R a R
RØD	R y d
RØDA	R y d A
RØDAL	R y d a l
RØDAS	R y d a s
RØDD	R W d
RØDDE	R W d a
RØDDES	R W d @ s
RØDDS	R W d s
RØDE	R y d a
RØDEN	R y d @ n
RØDENDE	R y d E n n a
RØDENDES	R y d E n n @ s
RØDENE	R y d E n a
RØDENES	R y d e n @ s
RØDENS	R y d @ n s
RØDER	R y d @ R
RØDERS	R y d a S
RØDES	R y d @ s
RØDING	R y d I N
RØDS	R W d s
RØEN	R y @ n
RØK	R y k
RØKE	R y k a
RØKEN	R y k @ n
RØKENDE	R y k E n n a
RØKENDES	R y k E n n @ s
RØKENE	R y k E n a
RØKENES	R y k e n @ s
RØKENS	R y k @ n s
RØKER	R y k @ R
RØKERS	R y k a S
RØKES	R y k @ s
RØKET	R y k @ t
RØKETE	R y k e t a
RØKETES	R y k e t @ s
RØKETS	R y k E t s
RØKING	R y dZ I N
RØKS	R W k s
RØKT	R W k t
RØKTE	R W k t a
RØKTES	R W k t @ s
RØKTS	R W k t s
RØL	R y l
RØLE	R y l a
RØLENDE	R y l E n n a
RØLENDES	R y l E n n @ s
RØLER	R y l @ R
RØLES	R y l @ s
RØLING	R y l I N
RØLT	R W l t
RØLTE	R W l t a
RØLTES	R W l t @ s
RØLTS	R W l t s
